Date,Price
29/3/2016,1226.28
30/3/2016,1226.74
31/3/2016,1234.34
1/4/2016,1212.38
4/4/2016,1218.55
5/4/2016,1229.34
6/4/2016,1222.22
7/4/2016,1240.28
8/4/2016,1241.57
11/4/2016,1257.57
12/4/2016,1254.38
13/4/2016,1247.38
14/4/2016,1230.84
15/4/2016,1229.88
18/4/2016,1234.99
19/4/2016,1254.19
20/4/2016,1254.82
21/4/2016,1250.07
22/4/2016,1241.59
25/4/2016,1240.6
26/4/2016,1241.61
27/4/2016,1248.07
28/4/2016,1260.69
29/4/2016,1292.34
2/5/2016,1294.34
3/5/2016,1285.5
4/5/2016,1281.84
5/5/2016,1274.68
6/5/2016,1290.38
9/5/2016,1265.97
10/5/2016,1261.18
11/5/2016,1274.68
12/5/2016,1267.68
13/5/2016,1270.99
16/5/2016,1275.4
17/5/2016,1279.47
18/5/2016,1271.28
19/5/2016,1249.49
20/5/2016,1252.68
23/5/2016,1248.18
24/5/2016,1234.62
25/5/2016,1222.24
26/5/2016,1222.85
27/5/2016,1211.9
30/5/2016,1206.44
31/5/2016,1214.28
1/6/2016,1210.07
2/6/2016,1210.55
3/6/2016,1239.88
6/6/2016,1245.6
7/6/2016,1241.38
8/6/2016,1259.49
9/6/2016,1269.65
10/6/2016,1273.59
13/6/2016,1282.07
14/6/2016,1285.88
15/6/2016,1283.38
16/6/2016,1310.47
17/6/2016,1287.05
20/6/2016,1285.38
21/6/2016,1270.55
22/6/2016,1266.97
23/6/2016,1263.69
24/6/2016,1313.88
27/6/2016,1323.62
28/6/2016,1311.84
29/6/2016,1323.38
30/6/2016,1321.07
1/7/2016,1335.97
4/7/2016,1351.1
5/7/2016,1345.34
6/7/2016,1368.74
7/7/2016,1356.83
8/7/2016,1355.69
11/7/2016,1359.57
12/7/2016,1342.44
13/7/2016,1340.28
14/7/2016,1329.41
15/7/2016,1327.57
18/7/2016,1329.56
19/7/2016,1330.74
20/7/2016,1318.23
21/7/2016,1322.53
22/7/2016,1320.71
25/7/2016,1317.78
26/7/2016,1320.47
27/7/2016,1328.07
28/7/2016,1337.79
29/7/2016,1349.09
1/8/2016,1349.98
2/8/2016,1367.38
3/8/2016,1357.29
4/8/2016,1363.4
5/8/2016,1339.5
8/8/2016,1335.57
9/8/2016,1340.08
10/8/2016,1344.7
11/8/2016,1352.57
12/8/2016,1353.43
15/8/2016,1342.06
16/8/2016,1348.07
17/8/2016,1346.22
18/8/2016,1349.8
19/8/2016,1345.42
22/8/2016,1338.71
23/8/2016,1339.69
24/8/2016,1327.49
25/8/2016,1323.07
26/8/2016,1334.07
29/8/2016,1322.42
30/8/2016,1318.11
31/8/2016,1307.93
1/9/2016,1312.72
2/9/2016,1318.55
5/9/2016,1326.67
6/9/2016,1340.74
7/9/2016,1344.94
8/9/2016,1344.34
9/9/2016,1333.94
12/9/2016,1324.57
13/9/2016,1324.95
14/9/2016,1323.45
15/9/2016,1319.88
16/9/2016,1311.22
19/9/2016,1313.41
20/9/2016,1315.31
21/9/2016,1325.9
22/9/2016,1339.53
23/9/2016,1339.71
26/9/2016,1341.19
27/9/2016,1327.15
28/9/2016,1319.86
29/9/2016,1317.4
30/9/2016,1321.51
3/10/2016,1311.74
4/10/2016,1283.52
5/10/2016,1269.72
6/10/2016,1251.44
7/10/2016,1253.36
10/10/2016,1259.81
11/10/2016,1256.73
12/10/2016,1251.91
13/10/2016,1257.76
14/10/2016,1253.45
17/10/2016,1256.66
18/10/2016,1261.74
19/10/2016,1272.15
20/10/2016,1266.51
21/10/2016,1266.05
24/10/2016,1261.59
25/10/2016,1272.55
26/10/2016,1268.58
27/10/2016,1268.47
28/10/2016,1270.03
31/10/2016,1273.88
1/11/2016,1288.8
2/11/2016,1304.91
3/11/2016,1298.72
4/11/2016,1303.82
7/11/2016,1280.9
8/11/2016,1281.09
9/11/2016,1288.9
10/11/2016,1265.38
11/11/2016,1228.5
14/11/2016,1215.63
15/11/2016,1225.29
16/11/2016,1225.91
17/11/2016,1228
18/11/2016,1207.53
21/11/2016,1213.97
22/11/2016,1209.69
23/11/2016,1187.31
24/11/2016,1186.05
25/11/2016,1184.53
